Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
see-max-power-lens,See Max Clear Power Contact Lenses,"<p>See Max clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.</p>",See Max,,Power Contact Lenses,"Contact Lenses, Brand: See Max, Lens Type: Power, Draft Import, Pricing: Client Confirmed, Prescription, Transparent, Power Range: -0.50 to -4.00",FALSE,Power (SPH),-0.50,,,,,SMX-PWR-N050,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,See Max Clear Power Contact Lenses,"See Max clear prescription contact lens for daily vision correction. Power range -0.50 to -4.00 SPH. Transparent, natural look, comfortable all-day wear.",draft
see-max-power-lens,,,,,,,,Power (SPH),-1.00,,,,,SMX-PWR-N100,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-power-lens,,,,,,,,Power (SPH),-1.50,,,,,SMX-PWR-N150,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-power-lens,,,,,,,,Power (SPH),-2.00,,,,,SMX-PWR-N200,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-power-lens,,,,,,,,Power (SPH),-2.50,,,,,SMX-PWR-N250,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-power-lens,,,,,,,,Power (SPH),-3.00,,,,,SMX-PWR-N300,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-power-lens,,,,,,,,Power (SPH),-3.50,,,,,SMX-PWR-N350,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-power-lens,,,,,,,,Power (SPH),-4.00,,,,,SMX-PWR-N400,0,shopify,25,deny,manual,3500,,TRUE,TRUE,,,,,FALSE,,,draft
see-max-toric-lens,See Max Toric Contact Lenses,"<p>See Max toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.</p>",See Max,,Toric Contact Lenses,"Contact Lenses, Brand: See Max, Lens Type: Toric, Draft Import, Pricing: Client Confirmed, Astigmatism, Prescription Setup Required",FALSE,Color,Grey,,,,,SMX-TOR-GRY,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,See Max Toric Contact Lenses,"See Max toric contact lens for astigmatism correction. Available in selected colors. Cylindrical design for stable, clear vision.",draft
see-max-toric-lens,,,,,,,,Color,Blue,,,,,SMX-TOR-BLU,0,shopify,15,deny,manual,7500,,TRUE,TRUE,,,,,FALSE,,,draft
